name,salary_from,salary_to,salary_currency,area_name,published_at
Разработчик Oracle PLSQL,,,,Калининград,2022-12-17T12:22:37+0300
Системный инженер,76000,76000,RUR,Санкт-Петербург,2022-12-17T12:40:29+0300
Разработчик Bitrix24,,,,Москва,2022-12-17T12:08:30+0300
Оператор станков с ЧПУ (сверловщик / кромщик),60000,85000,RUR,Екатеринбург,2022-12-17T15:09:54+0300
Токарь,106000,126000,RUR,Псков,2022-12-17T12:05:23+0300
Программист С# (Full stack),,,,Омск,2022-12-17T13:25:38+0300
"Middle Web Developer (PHP, Javascript)",,1800,USD,Минск,2022-12-17T02:31:44+0300
Сетевой инженер,,,,Горно-Алтайск,2022-12-17T17:51:36+0300
Начальник Ремонтно-механического участка (фабрика),52000,,RUR,Кушва,2022-12-17T09:00:09+0300
HTML Team Lead,,,,Санкт-Петербург,2022-12-17T15:09:53+0300
